Instrument,Committee Name,Committee Position of the Director,Committee Start Date,LEI,Company Name,Officer Rank,Officer Full Name,Officer First Name,Officer Middle Name,Officer Last Name,Officer Start Date,Director Start Date,Position Start Date,Position Description
III.L,Audit,Member,2016-10-01,35GDVHRBMFE7NWATNM84,3i Group PLC,12,Mr. Stephen W. Daintith,Stephen,W.,Daintith,NaT,2016-10-01 00:00:00,2016-10-01 00:00:00,Non-Executive Independent Director
III.L,Audit,Member,2018-11-01,35GDVHRBMFE7NWATNM84,3i Group PLC,14,Ms. Coline Lucille Mcconville,Coline,Lucille,Mcconville,NaT,2018-11-01 00:00:00,2018-11-01 00:00:00,Non-Executive Independent Director
III.L,Audit,Member,2020-01-01,35GDVHRBMFE7NWATNM84,3i Group PLC,16,Ms. Alexandra Elisabeth Johanna Maria Schaapveld,Alexandra,Elisabeth Johanna Maria,Schaapveld,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Non-Executive Independent Director
3IN.L,Audit,Member,,549300SQ4ZSVSWC6H750,3I Infrastructure PLC,5,Mr. Douglas (Doug) Bannister,Douglas,,Bannister,NaT,2015-01-01 00:00:00,2015-01-01 00:00:00,Independent Non-Executive Director
3IN.L,Audit,Chairman,2018-01-01,549300SQ4ZSVSWC6H750,3I Infrastructure PLC,6,Ms. Wendy Jane Dorman,Wendy,Jane,Dorman,NaT,2015-03-01 00:00:00,2015-03-01 00:00:00,Independent Non-Executive Director
3IN.L,Audit,Member,2022-09-29,549300SQ4ZSVSWC6H750,3I Infrastructure PLC,7,Ms. Stephanie A. Hazell,Stephanie,A.,Hazell,NaT,2022-09-29 00:00:00,2023-07-20 00:00:00,Senior Independent Non-Executive Director
3IN.L,Audit,Member,2020-02-22,549300SQ4ZSVSWC6H750,3I Infrastructure PLC,8,Ms. Samantha Hoe-Richardson,Samantha,,Hoe-Richardson,NaT,2020-02-22 00:00:00,2020-02-22 00:00:00,Independent Non-Executive Director
FOUR.L,Audit,Chairman,2021-05-18,213800G95T751RN2CT94,4imprint Group PLC,6,Mr. John Gibney,John,,Gibney,NaT,2021-03-08 00:00:00,2023-08-18 00:00:00,Senior Non-Executive Independent Director
FOUR.L,Audit,Member,2021-01-01,213800G95T751RN2CT94,4imprint Group PLC,8,Ms. Christina (Tina) Southall,Christina,,Southall,NaT,2019-05-08 00:00:00,2019-05-08 00:00:00,Non-Executive Independent Director
ABF.L,Audit,Member,2018-09-05,GBQKSY6W7G0OHCQ8OQ72,Associated British Foods PLC,7,Mr. Graham Denis Allan,Graham,Denis,Allan,NaT,2018-09-05 00:00:00,2018-09-05 00:00:00,Independent Non-Executive Director
ABF.L,Audit,Member,,GBQKSY6W7G0OHCQ8OQ72,Associated British Foods PLC,8,"Dr. Wolfhart G. Hauser, M.D.",Wolfhart,G.,Hauser,NaT,2015-01-14 00:00:00,2015-01-14 00:00:00,Independent Non-Executive Director
ABF.L,Audit,Member,2021-03-01,GBQKSY6W7G0OHCQ8OQ72,Associated British Foods PLC,9,Ms. Dame Heather Rabbatts,Dame Heather,,Rabbatts,NaT,2021-03-01 00:00:00,2023-05-01 00:00:00,Senior Independent Non-Executive Director
ABF.L,Audit,Chairman,2016-04-14,GBQKSY6W7G0OHCQ8OQ72,Associated British Foods PLC,10,Mr. Richard Reid,Richard,,Reid,NaT,2016-04-14 00:00:00,2016-04-14 00:00:00,Independent Non-Executive Director
ASL.L,Audit,Chairman,2023-03-02,213800GZ9WC73A92Q326,Aberforth Smaller Companies Trust PLC,3,Mrs. Patricia (Patty) Dimond,Patricia,,Dimond,NaT,2022-03-03 00:00:00,2022-03-03 00:00:00,Non-Executive Independent Director
ASL.L,Audit,Member,2021-03-02,213800GZ9WC73A92Q326,Aberforth Smaller Companies Trust PLC,4,Mrs. Victoria Stewart,Victoria,,Stewart,NaT,2002-09-01 00:00:00,2020-09-01 00:00:00,Non-Executive Independent Director
ABDN.L,Audit,Member,2022-01-04,0TMBS544NMO7GLCE7H90,Abrdn PLC,5,"Mrs. Catherine Annick Caroline Bradley, CBE",Catherine,Annick Caroline,Bradley,NaT,2022-01-04 00:00:00,2022-01-04 00:00:00,Non-Executive Independent Director
ABDN.L,Audit,Chairman,2017-01-01,0TMBS544NMO7GLCE7H90,Abrdn PLC,6,Mr. John Devine,John,,Devine,NaT,2016-07-04 00:00:00,2016-07-04 00:00:00,Non-Executive Independent Director
ABDN.L,Audit,Member,2022-06-01,0TMBS544NMO7GLCE7H90,Abrdn PLC,8,Ms. Pam Kaur,Pam,,Kaur,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Independent Director
ABDN.L,Audit,Member,2022-06-01,0TMBS544NMO7GLCE7H90,Abrdn PLC,9,Mr. Mike Obrien,Mike,,Obrien,NaT,2022-06-01 00:00:00,2022-06-01 00:00:00,Non-Executive Independent Director
